"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.05402196592188","67.73941919","75.85422839","103.979826855471","1","2129.52267502244","3121.30444598447","2223.66136511861","1342.98435950931","1","1","1","1"
2021,"2.05723706384375","66.96789733","75.50123101","103.977388090301","0.99392668","2129.52267502244","3121.30444598447","2223.66136511861","1342.98435950931","0.99392668","0.99392668","0.99392668","0.99392668"
2022,"2.06045216176563","74.27734948","80.37944297","103.975424281867","0.99392668","2129.52267502244","3121.30444598447","2223.66136511861","1342.98435950931","0.99392668","0.99392668","0.99392668","0.99392668"
2023,"2.0636672596875","74.31602947","80.43385029","103.973916231037","0.99392668","2129.52267502244","3121.30444598447","2223.66136511861","1342.98435950931","0.99392668","0.99392668","0.99392668","0.99392668"
2024,"2.06688235760937","74.38520734","80.52163906","103.972841858971","0.99392668","2129.52267502244","3121.30444598447","2223.66136511861","1342.98435950931","0.99392668","0.99392668","0.99392668","0.99392668"
2025,"2.07009745553125","74.43757914","80.59021884","103.972180233","0.99392668","2201.15061296173","3169.81513759223","2208.26566835437","1254.13461273678","0.99392668","0.99392668","0.99392668","0.99392668"
2026,"2.07331255345312","74.50483468","80.6746529","103.97191181529","0.98559068","2201.15061296173","3169.81513759223","2208.26566835437","1254.13461273678","0.98559068","0.98559068","0.98559068","0.98559068"
2027,"2.076527651375","74.56165455","80.74699176","103.972018328573","0.98559068","2201.15061296173","3169.81513759223","2208.26566835437","1254.13461273678","0.98559068","0.98559068","0.98559068","0.98559068"
2028,"2.07974274929687","74.62570018","80.82664047","103.972482992202","0.98559068","2201.15061296173","3169.81513759223","2208.26566835437","1254.13461273678","0.98559068","0.98559068","0.98559068","0.98559068"
2029,"2.08295784721875","74.68331836","80.89864412","103.973291234681","0.98559068","2201.15061296173","3169.81513759223","2208.26566835437","1254.13461273678","0.98559068","0.98559068","0.98559068","0.98559068"
2030,"2.08617294514062","74.74428868","80.97366653","103.974432243048","0.98559068","2243.76118326367","3255.67393360894","2199.80143875422","1276.99066050629","0.98559068","0.98559068","0.98559068","0.98559068"
2031,"2.0893880430625","74.80120671","81.04366657","103.975901229278","0.97253189","2243.76118326367","3255.67393360894","2199.80143875422","1276.99066050629","0.97253189","0.97253189","0.97253189","0.97253189"
2032,"2.09260314098437","74.85946691","81.11449695","103.977702419099","0.97253189","2243.76118326367","3255.67393360894","2199.80143875422","1276.99066050629","0.97253189","0.97253189","0.97253189","0.97253189"
2033,"2.09581823890625","74.91505017","81.18180713","103.979853757219","0.97253189","2243.76118326367","3255.67393360894","2199.80143875422","1276.99066050629","0.97253189","0.97253189","0.97253189","0.97253189"
2034,"2.09903333682812","74.97092835","81.24881168","103.982393659707","0.97253189","2243.76118326367","3255.67393360894","2199.80143875422","1276.99066050629","0.97253189","0.97253189","0.97253189","0.97253189"
2035,"2.10224843475","75.02490568","81.31314926","103.985391531289","0.97253189","2255.11252989457","3305.99607985198","2198.41584600699","1327.30714481891","0.97253189","0.97253189","0.97253189","0.97253189"
2036,"2.10546353267187","75.07862611","81.37659631","103.988961908219","0.9563525","2255.11252989457","3305.99607985198","2198.41584600699","1327.30714481891","0.9563525","0.9563525","0.9563525","0.9563525"
2037,"2.10867863059375","75.13089133","81.437867","103.993257028935","0.9563525","2255.11252989457","3305.99607985198","2198.41584600699","1327.30714481891","0.9563525","0.9563525","0.9563525","0.9563525"
2038,"2.11189372851562","75.18260836","81.49794221","103.998246960324","0.9563525","2255.11252989457","3305.99607985198","2198.41584600699","1327.30714481891","0.9563525","0.9563525","0.9563525","0.9563525"
2039,"2.1151088264375","75.23312884","81.55613093","104.002293210179","0.9563525","2255.11252989457","3305.99607985198","2198.41584600699","1327.30714481891","0.9563525","0.9563525","0.9563525","0.9563525"
2040,"2.11832392435937","75.28295192","81.61297694","104.00600510096","0.9563525","2256.7832204719","3332.32840698283","2204.69920848124","1322.01795977649","0.9563525","0.9563525","0.9563525","0.9563525"
2041,"2.12153902228125","75.33172821","81.66811294","104.00944534881","0.93899779","2256.7832204719","3332.32840698283","2204.69920848124","1322.01795977649","0.93899779","0.93899779","0.93899779","0.93899779"
2042,"2.12475412020312","75.37973664","81.72183751","104.012656804873","0.93899779","2256.7832204719","3332.32840698283","2204.69920848124","1322.01795977649","0.93899779","0.93899779","0.93899779","0.93899779"
2043,"2.127969218125","75.42679295","81.77396892","104.015613103868","0.93899779","2256.7832204719","3332.32840698283","2204.69920848124","1322.01795977649","0.93899779","0.93899779","0.93899779","0.93899779"
2044,"2.13118431604687","75.47305248","81.82467919","104.018287350327","0.93899779","2256.7832204719","3332.32840698283","2204.69920848124","1322.01795977649","0.93899779","0.93899779","0.93899779","0.93899779"
2045,"2.13439941396875","75.51842566","81.87387321","104.020675750567","0.93899779","2236.09717269379","3340.10499173648","2212.06151383617","1333.04201450931","0.93899779","0.93899779","0.93899779","0.93899779"
2046,"2.13761451189062","75.56300242","81.92166088","104.022802736151","0.92576718","2236.09717269379","3340.10499173648","2212.06151383617","1333.04201450931","0.92576718","0.92576718","0.92576718","0.92576718"
2047,"2.1408296098125","75.60674246","81.96800298","104.024722749615","0.92576718","2236.09717269379","3340.10499173648","2212.06151383617","1333.04201450931","0.92576718","0.92576718","0.92576718","0.92576718"
2048,"2.14404470773437","75.64970503","82.01296934","104.026502733635","0.92576718","2236.09717269379","3340.10499173648","2212.06151383617","1333.04201450931","0.92576718","0.92576718","0.92576718","0.92576718"
2049,"2.14725980565625","75.691876","82.05656075","104.028212581692","0.92576718","2236.09717269379","3340.10499173648","2212.06151383617","1333.04201450931","0.92576718","0.92576718","0.92576718","0.92576718"
2050,"2.15047490357812","75.73330562","82.09881882","104.029915895368","0.92576718","2209.43038049629","3331.24411013536","2221.48805483923","1328.75142132453","0.92576718","0.92576718","0.92576718","0.92576718"
2051,"2.1536900015","75.77399584","82.13976817","104.031653563138","0.90882097","2209.43038049629","3331.24411013536","2221.48805483923","1328.75142132453","0.90882097","0.90882097","0.90882097","0.90882097"
2052,"2.15690509942187","75.81398501","82.1794484","104.033436644879","0.90882097","2209.43038049629","3331.24411013536","2221.48805483923","1328.75142132453","0.90882097","0.90882097","0.90882097","0.90882097"
2053,"2.16012019734375","75.85329085","82.21788912","104.034982160894","0.90882097","2209.43038049629","3331.24411013536","2221.48805483923","1328.75142132453","0.90882097","0.90882097","0.90882097","0.90882097"
2054,"2.16333529526562","75.89195077","82.25513164","104.036530031457","0.90882097","2209.43038049629","3331.24411013536","2221.48805483923","1328.75142132453","0.90882097","0.90882097","0.90882097","0.90882097"
2055,"2.1665503931875","75.92998857","82.29120867","104.038113939582","0.90882097","2178.15532371079","3310.85512178322","2235.29213940298","1317.78056190028","0.90882097","0.90882097","0.90882097","0.90882097"
2056,"2.16976549110937","75.96744557","82.3261679","104.039720571373","0.89985058","2178.15532371079","3310.85512178322","2235.29213940298","1317.78056190028","0.89985058","0.89985058","0.89985058","0.89985058"
2057,"2.17298058903125","76.00435027","82.360044","104.041332280644","0.89985058","2178.15532371079","3310.85512178322","2235.29213940298","1317.78056190028","0.89985058","0.89985058","0.89985058","0.89985058"
2058,"2.17619568695312","76.04073958","82.39287286","104.042934609287","0.89985058","2178.15532371079","3310.85512178322","2235.29213940298","1317.78056190028","0.89985058","0.89985058","0.89985058","0.89985058"
2059,"2.179410784875","76.07664549","82.42470051","104.044516913748","0.89985058","2178.15532371079","3310.85512178322","2235.29213940298","1317.78056190028","0.89985058","0.89985058","0.89985058","0.89985058"
2060,"2.18262588279687","76.11210337","82.45556685","104.046072205182","0.89985058","2144.60519119611","3283.38839043947","2261.10588021369","1306.9390831318","0.89985058","0.89985058","0.89985058","0.89985058"
2061,"2.18584098071875","76.14715218","82.48551072","104.047596831196","0.8873042","2144.60519119611","3283.38839043947","2261.10588021369","1306.9390831318","0.8873042","0.8873042","0.8873042","0.8873042"
2062,"2.18905607864062","76.18182344","82.51456457","104.04908985368","0.8873042","2144.60519119611","3283.38839043947","2261.10588021369","1306.9390831318","0.8873042","0.8873042","0.8873042","0.8873042"
2063,"2.1922711765625","76.21614502","82.54277131","104.050552472046","0.8873042","2144.60519119611","3283.38839043947","2261.10588021369","1306.9390831318","0.8873042","0.8873042","0.8873042","0.8873042"
