"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.960141621","66.82191233","74.61006753","103.835041621717","1","4330.40989738296","4623.09206327184","7515.0341382262","4805.82336696358","1","1","1","1"
2021,"1.922279640315","69.26452938","76.25225345","103.826609933559","0.99696334","4330.40989738296","4623.09206327184","7515.0341382262","4805.82336696358","0.99696334","0.99696334","0.99696334","0.99696334"
2022,"1.87650893133","72.70657314","78.94505983","103.819275497563","0.99696334","4330.40989738296","4623.09206327184","7515.0341382262","4805.82336696358","0.99696334","0.99696334","0.99696334","0.99696334"
2023,"1.8392907758","72.95948408","79.21573213","103.813003121389","0.99696334","4330.40989738296","4623.09206327184","7515.0341382262","4805.82336696358","0.99696334","0.99696334","0.99696334","0.99696334"
2024,"1.81378973006","73.24599894","79.52329717","103.807748262542","0.99696334","4330.40989738296","4623.09206327184","7515.0341382262","4805.82336696358","0.99696334","0.99696334","0.99696334","0.99696334"
2025,"1.79030155005","73.51396618","79.80962595","103.803464600181","0.99696334","4443.84303920592","4661.14441721836","7440.43646274245","4474.30709280033","0.99696334","0.99696334","0.99696334","0.99696334"
2026,"1.75887799936","73.79832828","80.11347405","103.800104818652","0.99279534","4443.84303920592","4661.14441721836","7440.43646274245","4474.30709280033","0.99279534","0.99279534","0.99279534","0.99279534"
2027,"1.7198415473","74.07117924","80.40394128","103.797620775873","0.99279534","4443.84303920592","4661.14441721836","7440.43646274245","4474.30709280033","0.99279534","0.99279534","0.99279534","0.99279534"
2028,"1.68176071296","74.35198589","80.70248959","103.795964840321","0.99279534","4443.84303920592","4661.14441721836","7440.43646274245","4474.30709280033","0.99279534","0.99279534","0.99279534","0.99279534"
2029,"1.65093363178","74.62570499","80.99257399","103.795092201612","0.99279534","4443.84303920592","4661.14441721836","7440.43646274245","4474.30709280033","0.99279534","0.99279534","0.99279534","0.99279534"
2030,"1.62601629975","74.90311787","81.28599728","103.794964658257","0.99279534","4467.79838570391","4721.79917349055","7338.19228008802","4510.53304659158","0.99279534","0.99279534","0.99279534","0.99279534"
2031,"1.60173239373","75.17606923","81.57385543","103.795556300014","0.986265945","4467.79838570391","4721.79917349055","7338.19228008802","4510.53304659158","0.986265945","0.986265945","0.986265945","0.986265945"
2032,"1.57454029592","75.45051008","81.86262825","103.796862259191","0.986265945","4467.79838570391","4721.79917349055","7338.19228008802","4510.53304659158","0.986265945","0.986265945","0.986265945","0.986265945"
2033,"1.545610857835","75.72200883","82.14750685","103.798911712954","0.986265945","4467.79838570391","4721.79917349055","7338.19228008802","4510.53304659158","0.986265945","0.986265945","0.986265945","0.986265945"
2034,"1.51840454208","75.99384289","82.43203495","103.801787170433","0.986265945","4467.79838570391","4721.79917349055","7338.19228008802","4510.53304659158","0.986265945","0.986265945","0.986265945","0.986265945"
2035,"1.494477471925","76.26360472","82.71361748","103.805656065057","0.986265945","4408.61686385325","4707.45467232162","7221.3513156743","4616.51873906318","0.986265945","0.986265945","0.986265945","0.986265945"
2036,"1.47285673528","76.53310011","82.9941978","103.81082078189","0.97817625","4408.61686385325","4707.45467232162","7221.3513156743","4616.51873906318","0.97817625","0.97817625","0.97817625","0.97817625"
2037,"1.451361839745","76.80101251","83.27237637","103.817749173592","0.97817625","4408.61686385325","4707.45467232162","7221.3513156743","4616.51873906318","0.97817625","0.97817625","0.97817625","0.97817625"
2038,"1.42912568799","77.06834699","83.54922202","103.826682197765","0.97817625","4408.61686385325","4707.45467232162","7221.3513156743","4616.51873906318","0.97817625","0.97817625","0.97817625","0.97817625"
2039,"1.406835219775","77.33438497","83.82397741","103.833374642932","0.97817625","4408.61686385325","4707.45467232162","7221.3513156743","4616.51873906318","0.97817625","0.97817625","0.97817625","0.97817625"
2040,"1.3857590052","77.59969045","84.09724105","103.839561192272","0.97817625","4316.16302241689","4642.00350500683","7091.66334792773","4502.67563565344","0.97817625","0.97817625","0.97817625","0.97817625"
2041,"1.366349069475","77.86386822","84.36860676","103.84524897243","0.969498895","4316.16302241689","4642.00350500683","7091.66334792773","4502.67563565344","0.969498895","0.969498895","0.969498895","0.969498895"
2042,"1.34807242591","78.1272354","84.63840759","103.850448224294","0.969498895","4316.16302241689","4642.00350500683","7091.66334792773","4502.67563565344","0.969498895","0.969498895","0.969498895","0.969498895"
2043,"1.33019628879","78.38958344","84.90643954","103.855042584212","0.969498895","4316.16302241689","4642.00350500683","7091.66334792773","4502.67563565344","0.969498895","0.969498895","0.969498895","0.969498895"
2044,"1.31235291616","78.65109398","85.17289291","103.858928171416","0.969498895","4316.16302241689","4642.00350500683","7091.66334792773","4502.67563565344","0.969498895","0.969498895","0.969498895","0.969498895"
2045,"1.295095774","78.91166367","85.43766343","103.862073204186","0.969498895","4187.77610370114","4556.19783644826","6966.8066027664","4445.44186485157","0.969498895","0.969498895","0.969498895","0.969498895"
2046,"1.282229934975","79.1713926","85.70087139","103.864519762562","0.96288359","4187.77610370114","4556.19783644826","6966.8066027664","4445.44186485157","0.96288359","0.96288359","0.96288359","0.96288359"
2047,"1.27028606214","79.43024436","85.96247304","103.866395774956","0.96288359","4187.77610370114","4556.19783644826","6966.8066027664","4445.44186485157","0.96288359","0.96288359","0.96288359","0.96288359"
2048,"1.2588242141625","79.68827867","86.22255063","103.867892680109","0.96288359","4187.77610370114","4556.19783644826","6966.8066027664","4445.44186485157","0.96288359","0.96288359","0.96288359","0.96288359"
2049,"1.24769393145","79.94548364","86.48108999","103.869234309396","0.96288359","4187.77610370114","4556.19783644826","6966.8066027664","4445.44186485157","0.96288359","0.96288359","0.96288359","0.96288359"
2050,"1.236660015825","80.20191524","86.73816305","103.870637316171","0.96288359","4044.61728382457","4441.74112811875","6840.43840446204","4332.29716903702","0.96288359","0.96288359","0.96288359","0.96288359"
2051,"1.22600636886","80.45757483","86.99377151","103.872267932407","0.954410485","4044.61728382457","4441.74112811875","6840.43840446204","4332.29716903702","0.954410485","0.954410485","0.954410485","0.954410485"
2052,"1.21584693475","80.7125067","87.24797595","103.874230903301","0.954410485","4044.61728382457","4441.74112811875","6840.43840446204","4332.29716903702","0.954410485","0.954410485","0.954410485","0.954410485"
2053,"1.20605250744","80.96673386","87.50080058","103.875616063506","0.954410485","4044.61728382457","4441.74112811875","6840.43840446204","4332.29716903702","0.954410485","0.954410485","0.954410485","0.954410485"
2054,"1.196573608615","81.22029622","87.75228886","103.877331517462","0.954410485","4044.61728382457","4441.74112811875","6840.43840446204","4332.29716903702","0.954410485","0.954410485","0.954410485","0.954410485"
2055,"1.1874944312","81.4732219","88.00248688","103.879393503183","0.954410485","3882.46967308426","4298.42225617491","6707.83885831721","4187.2218337894","0.954410485","0.954410485","0.954410485","0.954410485"
2056,"1.17864212916","81.72555373","88.25143382","103.881707689091","0.94992529","3882.46967308426","4298.42225617491","6707.83885831721","4187.2218337894","0.94992529","0.94992529","0.94992529","0.94992529"
2057,"1.170106510885","81.97732542","88.4991769","103.884191231613","0.94992529","3882.46967308426","4298.42225617491","6707.83885831721","4187.2218337894","0.94992529","0.94992529","0.94992529","0.94992529"
2058,"1.1619642462825","82.22857507","88.74575474","103.886785747482","0.94992529","3882.46967308426","4298.42225617491","6707.83885831721","4187.2218337894","0.94992529","0.94992529","0.94992529","0.94992529"
2059,"1.1541614868","82.47935058","88.99122231","103.88945315165","0.94992529","3882.46967308426","4298.42225617491","6707.83885831721","4187.2218337894","0.94992529","0.94992529","0.94992529","0.94992529"
2060,"1.1465988460375","82.7296773","89.23561342","103.892171744002","0.94992529","3708.14141977162","4135.05097017095","6571.19265793664","4021.73257545814","0.94992529","0.94992529","0.94992529","0.94992529"
2061,"1.139295981375","82.97960526","89.47897481","103.89493267614","0.9436521","3708.14141977162","4135.05097017095","6571.19265793664","4021.73257545814","0.9436521","0.9436521","0.9436521","0.9436521"
2062,"1.1321384208075","83.22916759","89.72134917","103.897736621413","0.9436521","3708.14141977162","4135.05097017095","6571.19265793664","4021.73257545814","0.9436521","0.9436521","0.9436521","0.9436521"
2063,"1.12513917046","83.47839959","89.96277102","103.900591039298","0.9436521","3708.14141977162","4135.05097017095","6571.19265793664","4021.73257545814","0.9436521","0.9436521","0.9436521","0.9436521"
