"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.839224274","64.28848003","72.0787928","103.804839864575","1","614.384863794107","501.250140134817","332.763026070299","216.503115907123","1","1","1","1"
2021,"1.77773697636","64.75016832","72.18970413","103.792644862461","0.99696334","614.384863794107","501.250140134817","332.763026070299","216.503115907123","0.99696334","0.99696334","0.99696334","0.99696334"
2022,"1.71883404099","71.22334314","77.66087276","103.781940981999","0.99696334","614.384863794107","501.250140134817","332.763026070299","216.503115907123","0.99696334","0.99696334","0.99696334","0.99696334"
2023,"1.66083871192","71.48926127","77.94591642","103.77265897359","0.99696334","614.384863794107","501.250140134817","332.763026070299","216.503115907123","0.99696334","0.99696334","0.99696334","0.99696334"
2024,"1.60626886476","71.79168388","78.27095487","103.764728649531","0.99696334","614.384863794107","501.250140134817","332.763026070299","216.503115907123","0.99696334","0.99696334","0.99696334","0.99696334"
2025,"1.55792617695","72.0740091","78.57296978","103.758090563437","0.99696334","630.478399288462","505.37589568697","329.459867658081","201.568254417278","0.99696334","0.99696334","0.99696334","0.99696334"
2026,"1.51507750775","72.37417071","78.89397171","103.752695303199","0.99279534","630.478399288462","505.37589568697","329.459867658081","201.568254417278","0.99279534","0.99279534","0.99279534","0.99279534"
2027,"1.476593293815","72.66187619","79.20047054","103.748503273486","0.99279534","630.478399288462","505.37589568697","329.459867658081","201.568254417278","0.99279534","0.99279534","0.99279534","0.99279534"
2028,"1.44113416224","72.95827201","79.51572136","103.745485902024","0.99279534","630.478399288462","505.37589568697","329.459867658081","201.568254417278","0.99279534","0.99279534","0.99279534","0.99279534"
2029,"1.40913837935","73.24701637","79.82179426","103.743627163457","0.99279534","630.478399288462","505.37589568697","329.459867658081","201.568254417278","0.99279534","0.99279534","0.99279534","0.99279534"
2030,"1.38013321855","73.53982459","80.13148729","103.742924640977","0.99279534","633.877108104503","511.952274583427","324.932531788094","203.200239464091","0.99279534","0.99279534","0.99279534","0.99279534"
2031,"1.354134970755","73.82783737","80.43514544","103.743393420204","0.986265945","633.877108104503","511.952274583427","324.932531788094","203.200239464091","0.986265945","0.986265945","0.986265945","0.986265945"
2032,"1.33031356236","74.1175307","80.73978709","103.745071895256","0.986265945","633.877108104503","511.952274583427","324.932531788094","203.200239464091","0.986265945","0.986265945","0.986265945","0.986265945"
2033,"1.30850578705","74.40407725","81.0402044","103.74802964489","0.986265945","633.877108104503","511.952274583427","324.932531788094","203.200239464091","0.986265945","0.986265945","0.986265945","0.986265945"
2034,"1.28826400137","74.69105594","81.340243","103.75237514514","0.986265945","633.877108104503","511.952274583427","324.932531788094","203.200239464091","0.986265945","0.986265945","0.986265945","0.986265945"
2035,"1.269744000725","74.97583473","81.6370818","103.758265678323","0.986265945","625.480620912073","510.396998780417","319.758855638107","207.974911962339","0.986265945","0.986265945","0.986265945","0.986265945"
2036,"1.25232082772","75.26039368","81.93283777","103.765901901371","0.97817625","625.480620912073","510.396998780417","319.758855638107","207.974911962339","0.97817625","0.97817625","0.97817625","0.97817625"
2037,"1.236472129815","75.54329287","82.22597854","103.775396805896","0.97817625","625.480620912073","510.396998780417","319.758855638107","207.974911962339","0.97817625","0.97817625","0.97817625","0.97817625"
2038,"1.22157554064","75.82563108","82.51767338","103.785976173111","0.97817625","625.480620912073","510.396998780417","319.758855638107","207.974911962339","0.97817625","0.97817625","0.97817625","0.97817625"
2039,"1.207522477805","76.10662702","82.80709875","103.793624651514","0.97817625","625.480620912073","510.396998780417","319.758855638107","207.974911962339","0.97817625","0.97817625","0.97817625","0.97817625"
2040,"1.1945404053","76.38688977","83.09490421","103.800294793764","0.97817625","612.363562221522","503.300577956535","314.016318771542","202.846261837122","0.97817625","0.97817625","0.97817625","0.97817625"
2041,"1.182384398865","76.665998","83.38064662","103.806542116215","0.969498895","612.363562221522","503.300577956535","314.016318771542","202.846261837122","0.969498895","0.969498895","0.969498895","0.969498895"
2042,"1.1707269328","76.94429465","83.66469362","103.812711544888","0.969498895","612.363562221522","503.300577956535","314.016318771542","202.846261837122","0.969498895","0.969498895","0.969498895","0.969498895"
2043,"1.16005374669","77.22155253","83.94681986","103.81882360517","0.969498895","612.363562221522","503.300577956535","314.016318771542","202.846261837122","0.969498895","0.969498895","0.969498895","0.969498895"
2044,"1.15006210704","77.49797192","84.22722488","103.824820772429","0.969498895","612.363562221522","503.300577956535","314.016318771542","202.846261837122","0.969498895","0.969498895","0.969498895","0.969498895"
2045,"1.140337667875","77.77343521","84.50580518","103.830565868269","0.969498895","594.148432144392","493.997258273365","308.487706714567","200.26787125396","0.969498895","0.969498895","0.969498895","0.969498895"
2046,"1.134462361265","78.04806084","84.78268873","103.835937937198","0.96288359","594.148432144392","493.997258273365","308.487706714567","200.26787125396","0.96288359","0.96288359","0.96288359","0.96288359"
2047,"1.12918385586","78.32179745","85.05782717","103.840826122251","0.96288359","594.148432144392","493.997258273365","308.487706714567","200.26787125396","0.96288359","0.96288359","0.96288359","0.96288359"
2048,"1.1238516120175","78.5947212","85.33131262","103.845091678644","0.96288359","594.148432144392","493.997258273365","308.487706714567","200.26787125396","0.96288359","0.96288359","0.96288359","0.96288359"
2049,"1.118658254505","78.86681603","85.60312197","103.848620903852","0.96288359","594.148432144392","493.997258273365","308.487706714567","200.26787125396","0.96288359","0.96288359","0.96288359","0.96288359"
2050,"1.1138938065","79.13813824","85.87333485","103.85137290953","0.96288359","573.83751143826","481.587503004738","302.892168052552","195.170684503277","0.96288359","0.96288359","0.96288359","0.96288359"
2051,"1.10917979356","79.40869173","86.1419634","103.853374827289","0.954410485","573.83751143826","481.587503004738","302.892168052552","195.170684503277","0.954410485","0.954410485","0.954410485","0.954410485"
2052,"1.10437123846","79.67853325","86.40905805","103.854722651409","0.954410485","573.83751143826","481.587503004738","302.892168052552","195.170684503277","0.954410485","0.954410485","0.954410485","0.954410485"
2053,"1.099688632425","79.94767325","86.67465339","103.855106965011","0.954410485","573.83751143826","481.587503004738","302.892168052552","195.170684503277","0.954410485","0.954410485","0.954410485","0.954410485"
2054,"1.0954076816925","80.21616725","86.93880582","103.855923431163","0.954410485","573.83751143826","481.587503004738","302.892168052552","195.170684503277","0.954410485","0.954410485","0.954410485","0.954410485"
2055,"1.0911596608","80.48403864","87.20154558","103.857086023868","0.954410485","550.832521125581","466.048421441441","297.020707534993","188.635017308703","0.954410485","0.954410485","0.954410485","0.954410485"
2056,"1.0867353162525","80.75133379","87.4629277","103.858416251805","0.94992529","550.832521125581","466.048421441441","297.020707534993","188.635017308703","0.94992529","0.94992529","0.94992529","0.94992529"
2057,"1.082947517275","81.01809232","87.72299817","103.859787888145","0.94992529","550.832521125581","466.048421441441","297.020707534993","188.635017308703","0.94992529","0.94992529","0.94992529","0.94992529"
2058,"1.07878612112","81.28436293","87.98180644","103.861119066587","0.94992529","550.832521125581","466.048421441441","297.020707534993","188.635017308703","0.94992529","0.94992529","0.94992529","0.94992529"
2059,"1.07488606512","81.55017937","88.23939978","103.86236383437","0.94992529","550.832521125581","466.048421441441","297.020707534993","188.635017308703","0.94992529","0.94992529","0.94992529","0.94992529"
2060,"1.0712553393875","81.81558887","88.49582697","103.86349965643","0.94992529","526.09937975906","448.335194258693","290.970062613987","181.179699594745","0.94992529","0.94992529","0.94992529","0.94992529"
2061,"1.06796088011","82.08063028","88.75112778","103.864518278344","0.9436521","526.09937975906","448.335194258693","290.970062613987","181.179699594745","0.9436521","0.9436521","0.9436521","0.9436521"
2062,"1.0643816487375","82.34535123","89.00535953","103.865421021961","0.9436521","526.09937975906","448.335194258693","290.970062613987","181.179699594745","0.9436521","0.9436521","0.9436521","0.9436521"
2063,"1.06100370013","82.60978414","89.25855319","103.866216835378","0.9436521","526.09937975906","448.335194258693","290.970062613987","181.179699594745","0.9436521","0.9436521","0.9436521","0.9436521"
2064,"1.057137272545","82.87396944","89.51075455","103.866918800898","0.9436521","526.09937975906","448.335194258693","290.970062613987","181.179699594745","0.9436521","0.9436521","0.9436521","0.9436521"
2065,"1.053939781125","83.13793924","89.76199792","103.867544119325","0.9436521","520.839433399114","445.592441954344","284.922026483311","178.544367269452","0.9436521","0.9436521","0.9436521","0.9436521"
